id,lat,lon,datetime,aod_055,aod_047,aod_qa
264265,40.46643,-79.93690,2023-05-18T15:40:00+00:00,0.1850,0.2570,1
264265,40.46643,-79.93690,2023-05-18T18:25:00+00:00,0.2980,0.4110,1
264265,40.46643,-79.93690,2023-05-21T16:05:00+00:00,0.2300,0.3180,1
264265,40.46643,-79.93690,2023-05-21T18:50:00+00:00,0.2790,0.3860,1
264265,40.46643,-79.93690,2023-05-22T15:10:00+00:00,0.3570,0.4910,1
264265,40.46643,-79.93690,2023-05-22T17:55:00+00:00,0.4860,0.6650,8193
264265,40.46643,-79.93690,2023-05-22T19:35:00+00:00,0.3450,0.4750,1057
264265,40.46643,-79.93690,2023-05-24T16:30:00+00:00,0.9020,1.2160,8193
264265,40.46643,-79.93690,2023-05-25T18:25:00+00:00,0.1480,0.2060,865
264265,40.46643,-79.93690,2023-05-26T16:15:00+00:00,0.1390,0.1940,1
264265,40.46643,-79.93690,2023-05-26T19:05:00+00:00,0.0990,0.1380,1
264265,40.46643,-79.93690,2023-05-30T15:40:00+00:00,0.1240,0.1730,1
264265,40.46643,-79.93690,2023-05-30T18:40:00+00:00,0.2200,0.3040,1
264265,40.46643,-79.93690,2023-05-31T16:25:00+00:00,0.2490,0.3440,1
264265,40.46643,-79.93690,2023-05-31T19:20:00+00:00,0.1980,0.2750,1
264265,40.46643,-79.93690,2023-06-01T15:25:00+00:00,0.1810,0.2510,1
264265,40.46643,-79.93690,2023-06-01T18:25:00+00:00,0.1370,0.1910,1
264265,40.46643,-79.93690,2023-06-02T16:05:00+00:00,0.3180,0.4380,865
264265,40.46643,-79.93690,2023-06-02T19:05:00+00:00,0.2700,0.3740,1
264265,40.46643,-79.93690,2023-06-04T18:50:00+00:00,0.0950,0.1330,1
264265,40.46643,-79.93690,2023-06-05T16:30:00+00:00,0.5990,0.8150,8193
264265,40.46643,-79.93690,2023-06-05T17:55:00+00:00,0.9630,1.2980,8193
264265,40.46643,-79.93690,2023-06-05T19:35:00+00:00,0.7190,0.9780,8193
264265,40.46643,-79.93690,2023-06-18T15:35:00+00:00,0.2920,0.4010,1
264265,40.46643,-79.93690,2023-06-18T18:50:00+00:00,0.1470,0.2040,1
264265,40.46643,-79.93690,2023-06-25T18:50:00+00:00,0.1220,0.1700,1057
264265,40.46643,-79.93690,2023-06-29T16:30:00+00:00,1.5250,2.0040,8193
264265,40.46643,-79.93690,2023-07-10T15:45:00+00:00,0.3220,0.4430,1089
264265,40.46643,-79.93690,2023-07-11T16:30:00+00:00,0.3420,0.4700,1089
264265,40.46643,-79.93690,2023-07-16T18:45:00+00:00,0.3400,0.4680,1089
264265,40.46643,-79.93690,2023-07-23T16:25:00+00:00,0.2370,0.3280,1
264265,40.46643,-79.93690,2023-07-23T18:45:00+00:00,0.1860,0.2580,865
264265,40.46643,-79.93690,2023-07-24T15:30:00+00:00,0.2920,0.4020,1089
264265,40.46643,-79.93690,2023-07-26T15:15:00+00:00,0.3760,0.5180,1089
264265,40.46643,-79.93690,2023-07-26T19:15:00+00:00,0.2510,0.3470,1
264265,40.46643,-79.93690,2023-07-29T15:40:00+00:00,0.1310,0.1830,1
264265,40.46643,-79.93690,2023-07-31T15:20:00+00:00,0.1520,0.2110,1
264265,40.46643,-79.93690,2023-08-01T16:00:00+00:00,1.3450,1.7950,8193
264265,40.46643,-79.93690,2023-08-02T15:05:00+00:00,0.8590,1.1590,1
264265,40.46643,-79.93690,2023-08-02T16:45:00+00:00,1.0370,1.3980,8193
264265,40.46643,-79.93690,2023-08-08T18:30:00+00:00,0.3500,0.4830,1057
264265,40.46643,-79.93690,2023-08-09T14:55:00+00:00,0.3650,0.5020,1057
264265,40.46643,-79.93690,2023-08-11T16:20:00+00:00,0.2310,0.3200,1
264265,40.46643,-79.93690,2023-08-12T18:00:00+00:00,0.2920,0.4030,1
264265,40.46643,-79.93690,2023-08-12T18:00:00+00:00,0.2920,0.4030,1
264265,40.46643,-79.93690,2023-08-13T16:00:00+00:00,0.2050,0.2850,865
