time_stamp,pm2.5_atm,pm2.5_atm_a,pm2.5_atm_b
2023-11-15T17:00:00+00:00,8.6,8.4,8.7
2023-11-15T18:00:00+00:00,5.0,5.1,5.0
2023-11-15T19:00:00+00:00,3.9,3.9,3.8
2023-11-15T20:00:00+00:00,5.3,5.3,5.4
2023-11-15T21:00:00+00:00,8.2,8.1,8.3
2023-11-15T22:00:00+00:00,6.9,6.8,7.0
2023-11-15T23:00:00+00:00,6.4,6.3,6.6
2023-11-16T00:00:00+00:00,9.4,9.2,9.7
2023-11-16T01:00:00+00:00,8.9,8.8,9.0
2023-11-16T02:00:00+00:00,5.2,4.9,5.4
2023-11-16T03:00:00+00:00,4.3,4.1,4.5
2023-11-16T04:00:00+00:00,2.9,2.6,3.3
2023-11-16T05:00:00+00:00,4.0,3.7,4.3
2023-11-16T06:00:00+00:00,4.6,4.3,5.0
2023-11-16T07:00:00+00:00,7.3,7.1,7.5
2023-11-16T08:00:00+00:00,7.2,6.9,7.6
2023-11-16T09:00:00+00:00,5.9,5.5,6.3
2023-11-16T10:00:00+00:00,4.7,4.3,5.1
2023-11-16T11:00:00+00:00,4.8,4.4,5.1
2023-11-16T12:00:00+00:00,6.3,6.1,6.5
2023-11-16T13:00:00+00:00,5.6,5.3,5.8
2023-11-16T14:00:00+00:00,3.9,3.4,4.3
2023-11-16T15:00:00+00:00,3.6,3.2,3.9
2023-11-16T16:00:00+00:00,1.8,1.7,2.0
2023-11-16T17:00:00+00:00,1.6,1.6,1.6
2023-11-16T18:00:00+00:00,0.1,0.1,0.1
2023-11-16T19:00:00+00:00,0.1,0.1,0.1
2023-11-16T20:00:00+00:00,0.7,0.8,0.7
2023-11-16T21:00:00+00:00,0.3,0.3,0.3
2023-11-16T22:00:00+00:00,0.2,0.2,0.2
2023-11-16T23:00:00+00:00,0.2,0.3,0.2
2023-11-17T00:00:00+00:00,0.4,0.4,0.5
2023-11-17T01:00:00+00:00,0.9,0.8,0.9
2023-11-17T02:00:00+00:00,1.8,1.7,1.8
2023-11-17T03:00:00+00:00,10.6,10.2,11.0
2023-11-17T04:00:00+00:00,13.8,13.3,14.3
2023-11-17T05:00:00+00:00,17.2,16.8,17.6
2023-11-17T06:00:00+00:00,26.5,25.9,27.2
2023-11-17T07:00:00+00:00,26.9,26.6,27.2
2023-11-17T08:00:00+00:00,23.5,23.2,23.8
2023-11-17T09:00:00+00:00,15.0,14.4,15.6
2023-11-17T10:00:00+00:00,25.1,24.3,25.9
2023-11-17T11:00:00+00:00,21.2,20.2,22.2
2023-11-17T12:00:00+00:00,16.0,15.5,16.5
2023-11-17T13:00:00+00:00,15.2,15.5,14.9
2023-11-17T14:00:00+00:00,9.5,9.1,9.9
2023-11-17T15:00:00+00:00,6.8,6.6,6.9
2023-11-17T16:00:00+00:00,6.8,6.9,6.7
2023-11-17T17:00:00+00:00,4.1,4.3,3.8
2023-11-17T18:00:00+00:00,3.2,3.6,2.9
2023-11-17T19:00:00+00:00,3.2,3.4,2.9
2023-11-17T20:00:00+00:00,3.4,3.6,3.2
2023-11-17T21:00:00+00:00,3.8,4.1,3.5
2023-11-17T22:00:00+00:00,3.8,4.0,3.6
2023-11-17T23:00:00+00:00,2.9,3.1,2.7
2023-11-18T00:00:00+00:00,2.8,2.8,2.8
2023-11-18T01:00:00+00:00,2.8,2.8,2.7
2023-11-18T02:00:00+00:00,5.7,5.7,5.7
2023-11-18T03:00:00+00:00,12.9,12.9,12.9
2023-11-18T04:00:00+00:00,3.6,3.6,3.7
2023-11-18T05:00:00+00:00,4.4,4.0,4.8
2023-11-18T06:00:00+00:00,3.3,3.2,3.5
2023-11-18T07:00:00+00:00,3.1,3.1,3.2
2023-11-18T08:00:00+00:00,4.0,3.9,4.1
2023-11-18T09:00:00+00:00,3.2,3.3,3.2
2023-11-18T10:00:00+00:00,4.5,4.4,4.5
2023-11-18T11:00:00+00:00,6.4,6.3,6.5
2023-11-18T12:00:00+00:00,4.8,4.7,4.9
2023-11-18T13:00:00+00:00,6.2,6.0,6.4
2023-11-18T14:00:00+00:00,2.0,1.9,2.1
2023-11-18T15:00:00+00:00,0.6,0.5,0.7
2023-11-18T16:00:00+00:00,0.1,0.0,0.1
2023-11-18T17:00:00+00:00,0.1,0.1,0.1
2023-11-18T18:00:00+00:00,0.7,0.5,1.0
2023-11-18T19:00:00+00:00,1.2,1.0,1.4
2023-11-18T20:00:00+00:00,3.8,3.5,4.1
2023-11-18T21:00:00+00:00,0.8,0.6,1.0
2023-11-18T22:00:00+00:00,0.1,0.0,0.1
2023-11-18T23:00:00+00:00,0.1,0.0,0.1
2023-11-19T00:00:00+00:00,0.2,0.1,0.3
2023-11-19T01:00:00+00:00,2.8,2.5,3.0
2023-11-19T02:00:00+00:00,5.4,5.3,5.6
2023-11-19T03:00:00+00:00,2.3,2.1,2.6
2023-11-19T04:00:00+00:00,6.1,6.0,6.2
2023-11-19T05:00:00+00:00,8.3,8.2,8.3
2023-11-19T06:00:00+00:00,9.9,9.9,9.9
2023-11-19T07:00:00+00:00,10.0,9.9,10.0
2023-11-19T08:00:00+00:00,11.7,11.7,11.7
2023-11-19T09:00:00+00:00,7.0,6.8,7.3
2023-11-19T10:00:00+00:00,1.1,0.6,1.5
2023-11-19T11:00:00+00:00,1.1,0.6,1.7
2023-11-19T12:00:00+00:00,1.3,0.6,1.9
2023-11-19T13:00:00+00:00,1.5,0.8,2.3
2023-11-19T14:00:00+00:00,1.3,0.6,2.0
2023-11-19T15:00:00+00:00,1.5,0.8,2.2
2023-11-19T16:00:00+00:00,1.5,0.8,2.2
2023-11-19T17:00:00+00:00,1.1,0.6,1.7
2023-11-19T18:00:00+00:00,1.1,0.8,1.4
2023-11-19T19:00:00+00:00,0.7,0.5,0.8
2023-11-19T20:00:00+00:00,0.3,0.2,0.4
2023-11-19T21:00:00+00:00,0.3,0.1,0.5
2023-11-19T22:00:00+00:00,0.2,0.1,0.2
2023-11-19T23:00:00+00:00,0.1,0.0,0.2
2023-11-20T00:00:00+00:00,0.1,0.0,0.2
2023-11-20T01:00:00+00:00,0.1,0.0,0.2
2023-11-20T02:00:00+00:00,0.4,0.1,0.7
2023-11-20T03:00:00+00:00,0.3,0.1,0.5
2023-11-20T04:00:00+00:00,0.4,0.1,0.7
2023-11-20T05:00:00+00:00,0.8,0.5,1.2
2023-11-20T06:00:00+00:00,1.5,1.0,2.0
2023-11-20T07:00:00+00:00,5.0,4.5,5.5
2023-11-20T08:00:00+00:00,5.5,5.0,5.9
2023-11-20T09:00:00+00:00,1.4,0.8,2.0
2023-11-20T10:00:00+00:00,1.3,0.8,1.8
2023-11-20T11:00:00+00:00,2.1,1.4,2.8
2023-11-20T12:00:00+00:00,2.9,2.2,3.6
2023-11-20T13:00:00+00:00,5.2,4.5,5.9
2023-11-20T14:00:00+00:00,6.0,5.4,6.7
2023-11-20T15:00:00+00:00,8.2,7.6,8.7
2023-11-20T16:00:00+00:00,8.6,8.8,8.3
2023-11-20T17:00:00+00:00,7.5,7.9,7.2
2023-11-20T18:00:00+00:00,6.8,7.2,6.4
2023-11-20T19:00:00+00:00,7.0,7.5,6.6
2023-11-20T20:00:00+00:00,5.7,5.9,5.6
2023-11-20T21:00:00+00:00,3.7,3.5,3.9
2023-11-20T22:00:00+00:00,4.4,4.2,4.7
2023-11-20T23:00:00+00:00,3.9,3.6,4.1
2023-11-21T00:00:00+00:00,6.9,6.9,6.9
2023-11-21T01:00:00+00:00,2.4,2.1,2.7
2023-11-21T02:00:00+00:00,5.2,5.0,5.4
2023-11-21T03:00:00+00:00,15.6,15.4,15.9
2023-11-21T04:00:00+00:00,16.3,16.2,16.4
2023-11-21T05:00:00+00:00,9.5,9.3,9.8
2023-11-21T06:00:00+00:00,9.3,8.9,9.6
2023-11-21T07:00:00+00:00,10.5,9.8,11.1
2023-11-21T08:00:00+00:00,5.7,5.3,6.1
2023-11-21T09:00:00+00:00,4.2,3.8,4.6
2023-11-21T10:00:00+00:00,4.1,3.7,4.5
2023-11-21T11:00:00+00:00,5.0,4.3,5.7
2023-11-21T12:00:00+00:00,5.9,5.1,6.6
2023-11-21T13:00:00+00:00,5.6,4.8,6.3
2023-11-21T14:00:00+00:00,6.0,5.4,6.7
2023-11-21T15:00:00+00:00,10.3,9.5,11.0
2023-11-21T16:00:00+00:00,17.9,18.0,17.8
2023-11-21T17:00:00+00:00,12.0,12.5,11.5
2023-11-21T18:00:00+00:00,10.5,11.0,10.0
2023-11-21T19:00:00+00:00,5.2,5.3,5.1
2023-11-21T20:00:00+00:00,2.7,2.8,2.5
2023-11-21T21:00:00+00:00,2.4,2.3,2.4
2023-11-21T22:00:00+00:00,1.9,1.9,1.9
2023-11-21T23:00:00+00:00,2.4,2.4,2.5
2023-11-22T00:00:00+00:00,5.0,5.1,5.0
2023-11-22T01:00:00+00:00,5.7,5.6,5.7
2023-11-22T02:00:00+00:00,8.6,8.3,9.0
2023-11-22T03:00:00+00:00,10.0,9.8,10.3
2023-11-22T04:00:00+00:00,10.4,10.1,10.7
2023-11-22T05:00:00+00:00,13.4,13.0,13.8
2023-11-22T06:00:00+00:00,13.4,13.0,13.8
2023-11-22T07:00:00+00:00,9.8,9.5,10.0
2023-11-22T08:00:00+00:00,7.5,7.3,7.7
2023-11-22T09:00:00+00:00,7.7,7.5,8.0
2023-11-22T10:00:00+00:00,6.6,6.3,6.9
2023-11-22T11:00:00+00:00,4.9,4.4,5.4
2023-11-22T12:00:00+00:00,5.0,4.3,5.7
2023-11-22T13:00:00+00:00,6.3,5.6,7.0
2023-11-22T14:00:00+00:00,6.9,6.1,7.7
2023-11-22T15:00:00+00:00,13.9,12.7,15.2
2023-11-22T16:00:00+00:00,18.7,18.8,18.6
2023-11-22T17:00:00+00:00,29.4,30.3,28.6
2023-11-22T18:00:00+00:00,36.4,37.9,34.9
2023-11-22T19:00:00+00:00,32.2,33.0,31.3
2023-11-22T20:00:00+00:00,31.7,32.7,30.7
2023-11-22T21:00:00+00:00,31.0,31.7,30.3
2023-11-22T22:00:00+00:00,25.4,25.3,25.5
2023-11-22T23:00:00+00:00,16.2,15.6,16.8
2023-11-23T00:00:00+00:00,11.9,11.5,12.2
2023-11-23T01:00:00+00:00,12.4,11.7,13.1
2023-11-23T02:00:00+00:00,22.3,21.6,23.0
2023-11-23T03:00:00+00:00,28.6,28.8,28.4
2023-11-23T04:00:00+00:00,32.3,33.2,31.3
2023-11-23T05:00:00+00:00,36.3,37.9,34.6
2023-11-23T06:00:00+00:00,33.2,34.0,32.5
2023-11-23T07:00:00+00:00,31.6,31.5,31.8
2023-11-23T08:00:00+00:00,28.4,27.8,29.0
2023-11-23T09:00:00+00:00,23.6,23.1,24.2
2023-11-23T10:00:00+00:00,22.7,22.1,23.3
2023-11-23T11:00:00+00:00,22.1,21.6,22.6
2023-11-23T12:00:00+00:00,25.2,24.5,25.8
2023-11-23T13:00:00+00:00,28.2,27.8,28.6
2023-11-23T14:00:00+00:00,30.6,30.1,31.0
2023-11-23T15:00:00+00:00,29.7,28.8,30.6
2023-11-23T16:00:00+00:00,43.4,45.7,41.1
2023-11-23T17:00:00+00:00,46.4,49.0,43.9
2023-11-23T18:00:00+00:00,44.6,46.4,42.8
2023-11-23T19:00:00+00:00,37.2,38.1,36.3
2023-11-23T20:00:00+00:00,32.1,32.6,31.7
2023-11-23T21:00:00+00:00,20.6,20.2,21.0
2023-11-23T22:00:00+00:00,17.2,16.6,17.8
2023-11-23T23:00:00+00:00,24.1,23.7,24.6
2023-11-24T00:00:00+00:00,34.5,35.5,33.4
2023-11-24T01:00:00+00:00,34.7,35.6,33.9
2023-11-24T02:00:00+00:00,31.5,31.9,31.1
2023-11-24T03:00:00+00:00,25.9,26.0,25.8
2023-11-24T04:00:00+00:00,27.5,27.1,27.9
2023-11-24T05:00:00+00:00,27.9,27.5,28.3
2023-11-24T06:00:00+00:00,31.8,32.6,31.0
2023-11-24T07:00:00+00:00,34.1,34.9,33.2
2023-11-24T08:00:00+00:00,34.1,34.4,33.8
2023-11-24T09:00:00+00:00,34.5,34.5,34.5
2023-11-24T10:00:00+00:00,37.2,37.6,36.8
2023-11-24T11:00:00+00:00,37.5,37.3,37.8
2023-11-24T12:00:00+00:00,36.5,35.9,37.1
2023-11-24T13:00:00+00:00,35.4,34.1,36.7
2023-11-24T14:00:00+00:00,31.7,29.9,33.5
2023-11-24T15:00:00+00:00,24.6,22.3,27.0
2023-11-24T16:00:00+00:00,15.2,14.6,15.8
2023-11-24T17:00:00+00:00,15.0,14.8,15.2
2023-11-24T18:00:00+00:00,23.1,23.0,23.3
2023-11-24T19:00:00+00:00,29.6,30.3,28.8
2023-11-24T20:00:00+00:00,29.4,30.1,28.7
2023-11-24T21:00:00+00:00,28.5,29.1,27.9
2023-11-24T22:00:00+00:00,23.7,23.6,23.9
2023-11-24T23:00:00+00:00,22.5,22.5,22.5
2023-11-25T00:00:00+00:00,22.8,22.7,22.8
2023-11-25T01:00:00+00:00,22.9,22.6,23.1
2023-11-25T02:00:00+00:00,27.3,26.9,27.8
2023-11-25T03:00:00+00:00,31.1,31.4,30.7
2023-11-25T04:00:00+00:00,36.6,37.9,35.3
2023-11-25T05:00:00+00:00,28.7,28.1,29.3
2023-11-25T06:00:00+00:00,26.6,25.4,27.9
2023-11-25T07:00:00+00:00,27.3,25.6,28.9
2023-11-25T08:00:00+00:00,27.8,25.8,29.8
