time,u10,v10
2023-12-01T00:00,1.495,-0.210
2023-12-01T01:00,0.696,-0.505
2023-12-01T02:00,0.195,-1.001
2023-12-01T03:00,-0.097,0.501
2023-12-01T04:00,-0.000,0.500
2023-12-01T05:00,-0.401,0.204
2023-12-01T06:00,-0.099,-0.099
2023-12-01T07:00,-1.596,0.112
2023-12-01T08:00,-0.201,-0.702
2023-12-01T09:00,0.599,-0.195
2023-12-01T10:00,-0.298,-0.201
2023-12-01T11:00,-0.202,-0.501
2023-12-01T12:00,0.201,-0.702
2023-12-01T13:00,0.099,0.703
2023-12-01T14:00,1.195,0.105
2023-12-01T15:00,1.009,1.898
2023-12-01T16:00,1.905,3.300
2023-12-01T17:00,0.873,3.503
2023-12-01T18:00,2.500,3.706
2023-12-01T19:00,2.905,1.480
2023-12-01T20:00,5.501,0.871
2023-12-01T21:00,3.903,-1.988
2023-12-01T22:00,2.200,0.000
2023-12-01T23:00,0.695,-0.800
2023-12-02T00:00,0.604,1.296
2023-12-02T01:00,0.604,0.895
2023-12-02T02:00,-0.273,3.900
2023-12-02T03:00,2.310,3.697
2023-12-02T04:00,-0.178,5.097
2023-12-02T05:00,-0.110,6.299
2023-12-02T06:00,2.139,4.386
2023-12-02T07:00,3.374,4.318
2023-12-02T08:00,4.877,2.931
2023-12-02T09:00,2.096,1.210
2023-12-02T10:00,2.903,-0.203
2023-12-02T11:00,1.204,0.695
2023-12-02T12:00,1.011,1.392
2023-12-02T13:00,-0.283,2.303
2023-12-02T14:00,0.115,2.197
2023-12-02T15:00,1.031,3.595
2023-12-02T16:00,0.230,4.394
2023-12-02T17:00,1.403,6.602
2023-12-02T18:00,2.540,4.777
2023-12-02T19:00,3.707,5.497
2023-12-02T20:00,3.515,6.088
2023-12-02T21:00,2.802,6.294
2023-12-02T22:00,2.141,6.591
2023-12-02T23:00,1.744,6.510
2023-12-03T00:00,0.885,6.298
2023-12-03T01:00,2.880,7.912
2023-12-03T02:00,2.540,5.983
2023-12-03T03:00,0.162,9.299
2023-12-03T04:00,3.184,7.502
2023-12-03T05:00,4.255,7.370
2023-12-03T06:00,4.607,5.689
2023-12-03T07:00,5.368,6.629
2023-12-03T08:00,5.873,7.518
2023-12-03T09:00,5.292,3.705
2023-12-03T10:00,4.385,3.812
2023-12-03T11:00,3.682,3.813
2023-12-03T12:00,3.723,3.471
2023-12-03T13:00,2.414,2.589
2023-12-03T14:00,2.192,2.612
2023-12-03T15:00,0.976,3.005
2023-12-03T16:00,1.916,3.189
2023-12-03T17:00,1.313,3.093
2023-12-03T18:00,1.684,3.306
2023-12-03T19:00,2.206,3.397
2023-12-03T20:00,1.525,4.191
2023-12-03T21:00,1.697,4.200
2023-12-03T22:00,1.903,3.901
2023-12-03T23:00,2.029,3.983
2023-12-04T00:00,2.293,3.399
2023-12-04T01:00,1.505,1.093
2023-12-04T02:00,0.119,3.398
2023-12-04T03:00,0.399,3.799
2023-12-04T04:00,1.810,2.492
2023-12-04T05:00,-0.417,3.395
2023-12-04T06:00,-0.779,2.907
2023-12-04T07:00,-2.104,2.896
2023-12-04T08:00,-1.599,2.201
2023-12-04T09:00,-1.611,1.989
2023-12-04T10:00,-1.113,1.589
2023-12-04T11:00,-1.301,1.301
2023-12-04T12:00,-1.202,1.202
2023-12-04T13:00,-2.892,1.807
2023-12-04T14:00,-2.299,0.616
2023-12-04T15:00,-2.093,1.113
2023-12-04T16:00,0.578,2.504
2023-12-04T17:00,0.891,2.001
2023-12-04T18:00,0.606,1.093
2023-12-04T19:00,0.702,0.898
2023-12-04T20:00,1.301,1.301
2023-12-04T21:00,0.702,0.201
2023-12-04T22:00,0.201,0.702
2023-12-04T23:00,-1.403,1.096
2023-12-05T00:00,-2.197,0.714
2023-12-05T01:00,-1.898,1.009
2023-12-05T02:00,-0.000,0.200
2023-12-05T03:00,0.198,-0.198
2023-12-05T04:00,-0.600,-0.000
2023-12-05T05:00,-1.698,-0.089
2023-12-05T06:00,0.198,-0.796
2023-12-05T07:00,0.299,0.497
2023-12-05T08:00,-0.000,0.700
2023-12-05T09:00,0.696,-0.505
2023-12-05T10:00,-0.297,-0.700
2023-12-05T11:00,-0.892,-0.803
2023-12-05T12:00,-0.304,0.099
2023-12-05T13:00,0.501,0.202
2023-12-05T14:00,0.700,0.000
2023-12-05T15:00,0.208,-1.697
2023-12-05T16:00,-0.198,-0.198
2023-12-05T17:00,-0.401,0.204
2023-12-05T18:00,0.602,-0.095
2023-12-05T19:00,0.597,-0.403
2023-12-05T20:00,1.003,-0.903
2023-12-05T21:00,1.791,-0.913
2023-12-05T22:00,2.001,-0.891
2023-12-05T23:00,1.898,0.403
2023-12-06T00:00,0.702,-0.898
2023-12-06T01:00,1.597,1.204
2023-12-06T02:00,1.397,1.303
2023-12-06T03:00,0.906,1.294
2023-12-06T04:00,1.103,0.194
2023-12-06T05:00,0.701,-0.405
2023-12-06T06:00,1.800,1.999
2023-12-06T07:00,0.623,-2.699
2023-12-06T08:00,1.197,-0.508
2023-12-06T09:00,1.997,-0.105
2023-12-06T10:00,-0.089,-1.698
2023-12-06T11:00,-0.885,-3.303
2023-12-06T12:00,-0.392,-3.196
2023-12-06T13:00,1.100,-1.905
2023-12-06T14:00,1.399,-0.594
2023-12-06T15:00,0.813,-1.595
2023-12-06T16:00,-0.782,-2.406
2023-12-06T17:00,-0.295,-1.101
2023-12-06T18:00,1.494,-1.299
2023-12-06T19:00,2.600,-0.895
2023-12-06T20:00,3.569,3.328
2023-12-06T21:00,3.494,0.429
2023-12-06T22:00,3.295,-0.405
2023-12-06T23:00,1.601,0.399
2023-12-07T00:00,1.171,5.507
2023-12-07T01:00,1.819,7.297
2023-12-07T02:00,0.840,9.603
2023-12-07T03:00,0.825,11.801
2023-12-07T04:00,1.888,10.705
2023-12-07T05:00,0.619,11.804
2023-12-07T06:00,1.744,12.408
2023-12-07T07:00,2.869,11.508
2023-12-07T08:00,3.264,11.381
2023-12-07T09:00,5.217,10.696
