time,u10,v10
2023-12-01T00:00,1.389,-1.207
2023-12-01T01:00,0.695,-0.800
2023-12-01T02:00,0.400,0.000
2023-12-01T03:00,-0.402,1.403
2023-12-01T04:00,-0.300,1.704
2023-12-01T05:00,-2.522,3.883
2023-12-01T06:00,-2.480,3.414
2023-12-01T07:00,-1.787,1.916
2023-12-01T08:00,-0.602,-0.095
2023-12-01T09:00,-2.192,2.805
2023-12-01T10:00,-2.106,2.695
2023-12-01T11:00,-2.509,2.787
2023-12-01T12:00,-3.195,3.807
2023-12-01T13:00,-2.598,4.000
2023-12-01T14:00,-3.917,3.172
2023-12-01T15:00,-5.015,3.779
2023-12-01T16:00,-3.311,2.681
2023-12-01T17:00,-4.075,4.526
2023-12-01T18:00,-3.966,4.726
2023-12-01T19:00,-2.890,5.006
2023-12-01T20:00,-2.220,3.291
2023-12-01T21:00,0.299,-1.296
2023-12-01T22:00,-0.295,-2.402
2023-12-01T23:00,-3.819,-2.774
2023-12-02T00:00,-1.002,-1.603
2023-12-02T01:00,-1.200,-1.997
2023-12-02T02:00,-2.200,-0.000
2023-12-02T03:00,-1.600,0.311
2023-12-02T04:00,-1.498,2.703
2023-12-02T05:00,-4.582,4.425
2023-12-02T06:00,-3.280,3.518
2023-12-02T07:00,-3.295,0.405
2023-12-02T08:00,-1.890,-2.802
2023-12-02T09:00,-2.500,-0.219
2023-12-02T10:00,-0.000,0.400
2023-12-02T11:00,-2.413,-3.089
2023-12-02T12:00,-2.774,-3.819
2023-12-02T13:00,-2.302,-2.001
2023-12-02T14:00,-1.729,3.883
2023-12-02T15:00,-2.367,5.317
2023-12-02T16:00,-4.733,4.571
2023-12-02T17:00,-4.126,5.679
2023-12-02T18:00,-5.909,7.297
2023-12-02T19:00,-4.311,6.392
2023-12-02T20:00,-4.266,6.827
2023-12-02T21:00,-4.412,6.793
2023-12-02T22:00,-4.827,6.178
2023-12-02T23:00,-6.725,5.067
2023-12-03T00:00,-5.768,4.840
2023-12-03T01:00,-6.516,6.077
2023-12-03T02:00,-5.186,5.008
2023-12-03T03:00,-5.197,5.197
2023-12-03T04:00,-4.099,4.395
2023-12-03T05:00,-1.907,4.492
2023-12-03T06:00,-2.600,4.503
2023-12-03T07:00,-1.889,3.707
2023-12-03T08:00,-0.410,3.899
2023-12-03T09:00,-0.800,-0.000
2023-12-03T10:00,-3.800,1.692
2023-12-03T11:00,-4.097,0.722
2023-12-03T12:00,-3.392,3.902
2023-12-03T13:00,-1.099,3.596
2023-12-03T14:00,-4.668,4.834
2023-12-03T15:00,-2.994,3.211
2023-12-03T16:00,-2.504,1.689
2023-12-03T17:00,-2.605,2.996
2023-12-03T18:00,-1.825,3.582
2023-12-03T19:00,-2.610,3.592
2023-12-03T20:00,-4.318,3.888
2023-12-03T21:00,-3.002,2.703
2023-12-03T22:00,-3.686,2.215
2023-12-03T23:00,-3.098,0.715
2023-12-04T00:00,-3.303,-0.885
2023-12-04T01:00,-4.090,-1.329
2023-12-04T02:00,-3.995,-0.209
2023-12-04T03:00,-3.700,3.105
2023-12-04T04:00,-2.206,-0.389
2023-12-04T05:00,-3.595,0.830
2023-12-04T06:00,-1.796,-1.305
2023-12-04T07:00,-2.589,-1.813
2023-12-04T08:00,-3.101,-2.091
2023-12-04T09:00,-3.399,-2.293
2023-12-04T10:00,-3.011,-1.881
2023-12-04T11:00,-2.491,-1.618
2023-12-04T12:00,-2.209,-2.288
2023-12-04T13:00,-3.303,-0.885
2023-12-04T14:00,-2.306,-0.885
2023-12-04T15:00,-1.200,3.298
2023-12-04T16:00,-2.990,4.604
2023-12-04T17:00,-0.913,4.294
2023-12-04T18:00,-1.410,4.094
2023-12-04T19:00,-0.000,2.500
2023-12-04T20:00,-0.511,2.895
2023-12-04T21:00,-0.917,2.390
2023-12-04T22:00,1.298,0.498
2023-12-04T23:00,-0.597,-0.403
2023-12-05T00:00,-0.401,0.204
2023-12-05T01:00,-1.716,3.096
2023-12-05T02:00,0.613,1.596
2023-12-05T03:00,-1.104,-0.894
2023-12-05T04:00,-0.713,1.399
2023-12-05T05:00,-0.599,-0.195
2023-12-05T06:00,-0.997,0.997
2023-12-05T07:00,-0.486,2.105
2023-12-05T08:00,-1.812,2.686
2023-12-05T09:00,-2.721,3.483
2023-12-05T10:00,-1.597,1.204
2023-12-05T11:00,-1.694,2.608
2023-12-05T12:00,-2.306,3.293
