edge,src_station,dst_station,distance_m,wind_angle,wind_speed,delev_m,pm25_corr
86,131279,121721,3883.3835,0.0,0.0,0.0,-0.052051846
87,131279,129117,4210.5605,0.0,0.0,0.0,0.35503063
88,131279,129243,917.7643,0.0,0.0,0.0,0.21921386
89,131279,129263,3185.2842,0.0,0.0,0.0,0.34465125
90,131279,130313,1877.0156,0.0,0.0,0.0,0.97690296
91,131967,121721,3843.7908,0.0,0.0,0.0,0.7994851
92,131967,128465,5532.855,0.0,0.0,0.0,-0.05527502
93,131967,129243,4292.9976,0.0,0.0,0.0,0.02301424
94,131967,129587,6547.013,0.0,0.0,0.0,-0.05274921
95,131967,129637,4108.8896,0.0,0.0,0.0,0.032758597
96,131967,130313,3087.1309,0.0,0.0,0.0,-0.090553
97,131967,144040,6610.964,0.0,0.0,0.0,0.055120405
98,131967,147456,2250.9348,0.0,0.0,0.0,0.97499484
99,133131,121721,4477.407,0.0,0.0,0.0,0.24462591
100,133131,128465,3736.089,0.0,0.0,0.0,0.005456151
101,133131,129587,2798.7126,0.0,0.0,0.0,0.013322057
102,133131,129637,4523.7197,0.0,0.0,0.0,-0.0033453687
103,133131,130329,4595.116,0.0,0.0,0.0,0.026257606
104,133131,144040,3316.976,0.0,0.0,0.0,-0.02210103
105,133131,175953,5857.2197,0.0,0.0,0.0,0.015820062
106,133319,124223,1199.0887,0.0,0.0,0.0,-0.0119542135
107,133319,124291,1905.8909,0.0,0.0,0.0,0.9088934
108,133319,129281,1477.0892,0.0,0.0,0.0,0.33957052
109,133319,65669,1992.8612,0.0,0.0,0.0,0.8842867
110,133319,92321,2891.9065,0.0,0.0,0.0,0.53446907
111,144040,128465,1531.6577,0.0,0.0,0.0,0.188038
112,144040,129587,604.6867,0.0,0.0,0.0,0.1970501
113,144040,129637,3406.611,0.0,0.0,0.0,0.045223366
114,144040,131967,6610.964,0.0,0.0,0.0,0.055120405
115,144040,133131,3316.976,0.0,0.0,0.0,-0.02210103
116,146510,120859,1921.3618,0.0,0.0,0.0,0.9505767
117,146510,125725,654.03864,0.0,0.0,0.0,0.1574629
118,146510,129735,733.80444,0.0,0.0,0.0,0.25008804
119,146510,147456,6446.277,0.0,0.0,0.0,-0.08327347
120,146510,180637,3320.3477,0.0,0.0,0.0,-0.04611015
121,147456,120859,7714.71,0.0,0.0,0.0,-0.09496362
122,147456,125725,7050.1665,0.0,0.0,0.0,0.06133993
123,147456,129243,5678.2183,0.0,0.0,0.0,0.22025739
124,147456,129637,4671.7026,0.0,0.0,0.0,0.019227495
125,147456,129735,5713.8066,0.0,0.0,0.0,-0.03905848
126,147456,130313,3934.0989,0.0,0.0,0.0,-0.016814029
127,147456,131967,2250.9348,0.0,0.0,0.0,0.97499484
128,147456,146510,6446.277,0.0,0.0,0.0,-0.08327347
129,175953,121721,3328.5808,0.0,0.0,0.0,-0.010108727
130,175953,129117,3322.6174,0.0,0.0,0.0,0.104716495
131,175953,129243,5089.301,0.0,0.0,0.0,0.015907
132,175953,130329,1548.3599,0.0,0.0,0.0,0.1988691
133,175953,133131,5857.2197,0.0,0.0,0.0,0.015820062
134,180637,120859,5200.4146,0.0,0.0,0.0,-0.045480255
135,180637,124291,4525.78,0.0,0.0,0.0,-0.018028036
136,180637,125725,3345.468,0.0,0.0,0.0,0.09789848
137,180637,129281,4369.612,0.0,0.0,0.0,-0.03802684
138,180637,129735,3101.7397,0.0,0.0,0.0,-0.052576717
139,180637,146510,3320.3477,0.0,0.0,0.0,-0.04611015
140,65669,124223,2940.6028,0.0,0.0,0.0,-0.09125058
141,65669,124291,3024.9265,0.0,0.0,0.0,0.9519295
142,65669,129263,4936.0923,0.0,0.0,0.0,0.31297624
143,65669,129281,2209.17,0.0,0.0,0.0,0.3363755
144,65669,133319,1992.8612,0.0,0.0,0.0,0.8842867
145,65669,92321,1268.0902,0.0,0.0,0.0,0.60526395
146,92321,124223,3508.0474,0.0,0.0,0.0,-0.049105495
147,92321,124291,4246.6206,0.0,0.0,0.0,0.5826871
148,92321,129263,3770.4688,0.0,0.0,0.0,0.19240853
149,92321,129281,3446.5747,0.0,0.0,0.0,0.2022679
150,92321,133319,2891.9065,0.0,0.0,0.0,0.53446907
151,92321,65669,1268.0902,0.0,0.0,0.0,0.60526395
