edge,src_station,dst_station,distance_m,wind_angle,wind_speed,delev_m,pm25_corr
88,129735,129637,308.18695,41.417034,2.0043852,-6.7056,0.057418276
89,129735,146510,492.8079,41.556335,2.009665,10.0584,0.25008804
90,129735,147456,431.59143,41.716194,2.008448,-7.9248,-0.03905848
91,129735,65669,79.90463,41.49917,2.0069287,0.0,0.2465351
92,130313,124223,1319.275,42.84861,2.0161533,19.812,-0.072735965
93,130313,125725,1132.3279,42.587917,2.003352,12.4968,0.1779016
94,130313,133131,1219.8663,42.73829,2.0143538,19.5072,-0.008035828
95,130313,147456,1099.5466,42.55192,2.010354,27.1272,-0.016814029
96,130313,65669,1392.6222,42.33575,2.008724,35.052,0.9636984
97,130329,129587,435.1479,41.109756,2.007482,-14.3256,0.4452762
98,130329,131279,394.16098,41.004517,2.0107806,11.2776,0.50363797
99,130329,131967,165.22226,41.11974,2.0104485,14.3256,0.07293254
100,130329,146510,358.38284,41.426914,2.011629,-16.1544,0.4196628
101,130329,65669,442.50787,41.369625,2.0088975,-26.2128,0.41377047
102,131279,124291,569.4446,40.581505,2.0076332,3.3528,0.9894772
103,131279,129281,521.7946,40.51706,2.0086133,8.8392,0.3743402
104,131279,129587,635.69446,40.904354,2.007909,-25.6032,0.72208375
105,131279,130329,394.16098,41.004517,2.0107806,-11.2776,0.50363797
106,131279,131967,229.85129,40.91464,2.010874,3.048,-0.074048534
107,131279,92321,1137.3839,41.220245,2.018473,0.9144,0.5852943
108,131967,124291,627.1596,40.69684,2.0072713,0.3048,-0.081669554
109,131967,129117,573.2467,41.15379,2.0077977,-34.4424,-0.080847114
110,131967,129281,658.5723,40.632324,2.008247,5.7912,-0.07442757
111,131967,129587,479.7094,41.019726,2.0075698,-28.6512,-0.05274921
112,131967,130329,165.22226,41.11974,2.0104485,-14.3256,0.07293254
113,131967,131279,229.85129,40.91464,2.010874,-3.048,-0.074048534
114,131967,146510,501.62726,41.337055,2.0116994,-30.48,-0.10724353
115,133131,124223,271.83206,42.44815,2.0201788,0.3048,0.034614347
116,133131,130313,1219.8663,42.73829,2.0143538,-19.5072,-0.008035828
117,133131,146510,594.87634,41.991272,2.0156267,25.6032,-0.009188457
118,133131,147456,588.98755,42.150913,2.0144522,7.62,-0.2797804
119,133131,175953,788.03015,42.40609,2.0234396,6.7056,0.015820062
120,133131,65669,885.7806,41.934864,2.0128753,15.5448,-0.005111642
121,133131,92321,1050.3813,41.987194,2.022082,53.9496,-0.0026380129
122,133319,121721,535.1002,40.740757,1.9887096,-4.2672,-0.08974144
123,133319,125725,1186.5151,41.35764,1.9907362,-16.1544,0.16835442
124,133319,128465,600.3541,40.819473,1.9825162,-3.9624,0.78320277
125,133319,129263,1088.1428,40.25026,1.988582,12.192,0.31949648
126,133319,180637,995.7478,40.434536,1.9898082,11.5824,-0.043178447
127,144040,120859,390.82135,40.92948,2.0033057,-13.1064,0.15356039
128,144040,124291,346.40433,40.528076,2.003384,25.6032,0.15285757
129,144040,129117,478.25278,40.985962,2.0038636,-9.144,0.09419004
130,144040,129243,1088.874,40.112087,1.9972174,-3.3528,-0.005254316
131,144040,129263,932.62256,40.25893,1.9973059,-9.4488,0.07591868
132,144040,129281,560.6987,40.463524,2.0043664,31.0896,0.08952437
133,144040,129587,262.93845,40.85162,2.0036495,-3.3528,0.1970501
134,144040,180637,661.79095,40.442398,1.998533,-10.0584,-0.034710363
135,146510,124223,839.9676,42.10218,2.0173755,-25.2984,-0.096313894
136,146510,129735,492.8079,41.556335,2.009665,-10.0584,0.25008804
137,146510,130329,358.38284,41.426914,2.011629,16.1544,0.4196628
138,146510,131967,501.62726,41.337055,2.0116994,30.48,-0.10724353
139,146510,133131,594.87634,41.991272,2.0156267,-25.6032,-0.009188457
140,146510,147456,414.80484,41.80356,2.0117126,-17.9832,-0.08327347
141,146510,175953,1176.284,42.060623,2.0206454,-18.8976,0.9055539
142,146510,65669,419.78375,41.58695,2.0101817,-10.0584,0.97626996
143,146510,92321,1064.9119,41.640934,2.0193772,28.3464,0.60048825
144,147456,124223,857.8697,42.26175,2.016212,-7.3152,-0.4406547
145,147456,129117,592.13446,41.621204,2.0077586,14.0208,-0.18963626
146,147456,129735,431.59143,41.716194,2.008448,7.9248,-0.03905848
147,147456,130313,1099.5466,42.55192,2.010354,-27.1272,-0.016814029
148,147456,133131,588.98755,42.150913,2.0144522,-7.62,-0.2797804
149,147456,146510,414.80484,41.80356,2.0117126,17.9832,-0.08327347
150,147456,175953,1349.643,42.21991,2.0194778,-0.9144,-0.05679745
151,147456,65669,365.28107,41.746784,2.0089676,7.9248,-0.11802722
152,175953,124223,580.5006,42.516212,2.0252168,-6.4008,-0.09830857
153,175953,133131,788.03015,42.40609,2.0234396,-6.7056,0.015820062
154,175953,146510,1176.284,42.060623,2.0206454,18.8976,0.9055539
155,175953,147456,1349.643,42.21991,2.0194778,0.9144,-0.05679745
156,175953,92321,686.8515,42.05634,2.0271008,47.244,0.3295672
157,180637,121721,632.02795,40.495625,1.9932505,-15.8496,-0.12078734
158,180637,124291,748.4832,40.27671,1.9992325,35.6616,-0.018028036
159,180637,128465,1596.0465,40.5734,1.9870455,-15.5448,-0.03051211
160,180637,129243,542.99786,39.859085,1.9931297,6.7056,0.022001041
161,180637,129263,312.8775,40.00624,1.9931957,0.6096,-0.028271718
162,180637,133319,995.7478,40.434536,1.9898082,-11.5824,-0.043178447
163,180637,144040,661.79095,40.442398,1.998533,10.0584,-0.034710363
164,65669,120859,336.55624,41.347733,2.0056796,2.1336,0.95055825
165,65669,129117,230.34386,41.40403,2.006252,6.096,0.3197571
166,65669,129637,382.98914,41.447765,2.0048995,-6.7056,0.15517338
167,65669,129735,79.90463,41.49917,2.0069287,0.0,0.2465351
168,65669,130313,1392.6222,42.33575,2.008724,-35.052,0.9636984
169,65669,130329,442.50787,41.369625,2.0088975,26.2128,0.41377047
170,65669,133131,885.7806,41.934864,2.0128753,-15.5448,-0.005111642
171,65669,146510,419.78375,41.58695,2.0101817,10.0584,0.97626996
172,65669,147456,365.28107,41.746784,2.0089676,-7.9248,-0.11802722
173,92321,124223,1010.6881,42.097755,2.0238307,-53.6448,-0.049105495
174,92321,131279,1137.3839,41.220245,2.018473,-0.9144,0.5852943
175,92321,133131,1050.3813,41.987194,2.022082,-53.9496,-0.0026380129
176,92321,146510,1064.9119,41.640934,2.0193772,-28.3464,0.60048825
177,92321,175953,686.8515,42.05634,2.0271008,-47.244,0.3295672
