node,station_id,pm25
0,120859,1.3
1,121721,1.4
2,124223,1568.1
3,124291,
4,125725,2.7
5,128465,0.0
6,129117,0.3
7,129243,16.3
8,129263,0.0
9,129281,0.0
10,129587,0.1
11,129637,
12,129735,1.1
13,130313,2.3
14,130329,0.4
15,131279,0.5
16,131967,1.4
17,133131,42.9
18,133319,1.4
19,144040,0.0
20,146510,6.1
21,147456,
22,175953,
23,180637,
24,65669,5.7
25,92321,5.9
