time,u10,v10,u100,v100
2023-01-01 00:00:00,0.22703980205152963,-0.12064235065158521,-0.6428890506664537,-1.2357886735547357
2023-01-01 02:00:00,1.28642605297186,1.431446311095328,-0.49942885899065126,1.7645000234265642
2023-01-01 04:00:00,1.3618717557039004,0.7875993019406402,0.032730259114058885,1.8528298273718953
2023-01-01 06:00:00,1.5542485405663995,1.3526081853312697,-0.37280787707657037,3.0333760773812797
2023-01-01 08:00:00,1.4380865736734225,1.3868791007179913,-0.43785686970704585,4.282638410959417
2023-01-01 10:00:00,1.2518238014820215,1.610916346892207,-2.327447010696889,2.898274435666439
2023-01-01 12:00:00,1.1366079198640469,1.4113868297187686,-1.5621629608750245,2.40418327277503
2023-01-01 14:00:00,1.366025154905455,0.9639030789906388,-0.5867727293101722,1.973182564632839
2023-01-01 16:00:00,0.4956451157046617,0.36889473562657105,-0.7893236918133166,0.9689767949711046
2023-01-01 18:00:00,-1.1701955899984613,0.30919113058281245,-2.333146616108635,0.4425496395914005
2023-01-01 20:00:00,-1.5804459853461015,0.20261213459687374,-2.3073912915164163,0.4254012208406234
2023-01-01 22:00:00,-0.8901164304273452,-0.9816235755593886,-1.1218672744125102,-1.9619602617070533
2023-01-02 00:00:00,-0.6126640026156258,-1.1411642034226757,-1.8916226706351722,-1.2962378751953492
2023-01-02 02:00:00,-0.45285658603438006,0.32628122904373197,-1.435028718817979,-0.1567362872179932
2023-01-02 04:00:00,-0.6434364213320344,-0.37761000981017045,-1.2624413989414158,-0.5038036883375198
2023-01-02 06:00:00,-1.1674894924468817,-0.029716928880478388,-1.754711841816421,-0.2791481469796996
2023-01-02 08:00:00,0.008923832208582921,-0.2825177321187623,-1.1715361112617304,-0.10153301008204182
2023-01-02 10:00:00,-0.7571320675156306,-0.5518668603468934,-1.5927349784937606,-0.5948541846328343
2023-01-02 12:00:00,0.5508920018640491,-0.5975592517414233,0.08747340091248029,-0.5452697733804979
2023-01-02 14:00:00,-0.11399668488751663,-0.668179756221113,-0.8094083441461191,-0.7108001389930005
2023-01-02 16:00:00,-1.1795739705664274,-1.485928042720335,-1.7700523031781472,-1.8124554063101832
2023-01-02 18:00:00,-1.5163152641460917,-1.4714109167047098,-1.9314996967796865,-1.9535212861234665
2023-01-02 20:00:00,-1.8018469370343664,-1.5998415989984613,-2.429986992590612,-2.229546534244561
2023-01-02 22:00:00,-0.16225963473669514,-1.5968637355437671,0.010127349820342468,-2.3413077166711163
2023-01-03 00:00:00,-0.6254222953781096,-1.6572378989922056,-0.5579984804140455,-2.7609260668203466
2023-01-03 02:00:00,0.45831835998672726,-1.4716178665945556,-0.12629579013593217,-2.560866276110978
2023-01-03 04:00:00,0.05275704437890895,-1.9952240984617444,-0.5214307466288988,-3.39587492486723
2023-01-03 06:00:00,0.36558080497110046,-1.4750912963750256,-0.43368552856874043,-2.5210916364828546
2023-01-03 08:00:00,0.9956033626804777,-0.7450566256007987,-0.5605542828843669,-2.124159317196129
2023-01-03 10:00:00,0.7696537898664146,0.01667276460155312,-0.10195510902185828,-1.439496734125817
2023-01-03 12:00:00,1.241240809970318,0.696640642521099,-0.16258178812421478,0.5402983040609199
2023-01-03 14:00:00,1.6578290733781151,0.917268249925011,-0.00910458474221254,1.6333726751023543
2023-01-03 16:00:00,0.8823210783429358,0.007055978564062024,-1.0729888643367764,-0.4362976481773543
2023-01-03 18:00:00,-1.2309133539476802,-0.1178380884171873,-2.042305535171135,-0.2526688325523475
2023-01-03 20:00:00,-1.0047960344109503,0.6812068907156404,-1.1189013805593946,0.9720297025992388
2023-01-03 22:00:00,-0.34240780879297733,1.2426373727336177,-0.2664574359617339,1.9924689895656582
2023-01-04 00:00:00,0.14326703882576658,1.9495553726797088,0.40974200516403686,2.543802075583637
2023-01-04 02:00:00,1.6685817678999753,0.8560440880304901,2.3659480189359137,2.58822932221333
2023-01-04 04:00:00,2.2646522688202793,0.6992645347656419,3.7239668768765224,1.516901789807073
2023-01-04 06:00:00,2.6318492529890234,0.5909487285031412,4.649048299714014,0.3925142356812757
2023-01-04 08:00:00,2.74164383919605,0.4617019105648571,4.884298465890563,0.057308840281267814
2023-01-04 10:00:00,2.0949365918640264,0.49717100554219784,3.5880825112804104,-0.06805499798045134
2023-01-04 12:00:00,2.294767860288241,0.4184624229117242,3.1684770027663385,0.02589749437188074
2023-01-04 14:00:00,2.4247726414062054,0.26372063177266525,3.78773442889446,0.045321205603922665
2023-01-04 16:00:00,2.279461836917138,0.12377705399767291,3.623122901798359,-0.05287101533434568
2023-01-04 18:00:00,2.211831529402294,-0.3197861237171664,3.6179496426710096,-0.6547740104327808
2023-01-04 20:00:00,0.3095138461108755,0.025240254151588648,1.5144999887647468,-0.1388034111874623
2023-01-04 22:00:00,-0.6790393470305023,0.9953765116031477,-0.1702257289469319,1.5209056415422235
2023-01-05 00:00:00,2.353256784415593,1.476126187318771,2.2526281172890026,2.9045515837734905
2023-01-05 02:00:00,2.441567495408555,0.4635117197640765,3.608886969377288,0.9224701796500266
2023-01-05 04:00:00,3.0790491637937123,0.4286252346656331,4.488484759290577,-0.2946864239671761
2023-01-05 06:00:00,3.138460746334335,0.6561025031453214,4.483079063796046,0.1545018282898556
2023-01-05 08:00:00,3.0596709289194877,0.7705475122406399,4.251371010774172,0.492405844248465
2023-01-05 10:00:00,2.548533225744488,0.6744368876070423,2.8710636763023096,0.5005884449781435
2023-01-05 12:00:00,2.8187153692499605,0.646491698968761,3.441686975779644,0.05256684842345771
2023-01-05 14:00:00,2.9353486818608956,0.6874829280882928,3.6312329554382368,0.23995782510627617
2023-01-05 16:00:00,3.114921850502302,0.9474925948640799,4.40881010726636,0.78960703917893
2023-01-05 18:00:00,1.6646954446093358,0.5195564890789197,3.887045463586662,0.5819843440500135
2023-01-05 20:00:00,0.20936436050855828,0.4357744282328214,1.4744358838476062,0.6121850394554775
2023-01-05 22:00:00,1.562207308141381,0.853670844739852,2.529943794236671,1.294271401460948
2023-01-06 00:00:00,1.8401066080101143,0.16051236281249773,1.4119246120921254,0.23459107888279795
2023-01-06 02:00:00,1.8859862493937083,0.3152997667109384,1.9075357670265145,-0.11159328389454555
2023-01-06 04:00:00,2.0942495652343376,0.45105250590625146,1.7924915778905808,0.7823000554976607
2023-01-06 06:00:00,2.053927397819493,0.42262280754609394,1.77816098434058,0.4011918793867155
2023-01-06 08:00:00,1.7246121942109032,0.36060526016093297,1.5686608191780782,0.30808995971326264
2023-01-06 10:00:00,2.979973684192168,0.47333363753906965,2.8035350548359323,0.686039640422661
2023-01-06 12:00:00,3.113209729677319,0.37759512906641113,3.506752627904672,-0.8031951124882863
2023-01-06 14:00:00,2.4674306463015343,0.6173248421914085,2.172884938685921,-0.5139984994531297
2023-01-06 16:00:00,2.4060393772749764,1.0068793760453305,2.1007225629320123,1.6690981604882993
2023-01-06 18:00:00,1.2901472448296762,0.5510625126422051,1.7307914648437326,1.5829106965531465
2023-01-06 20:00:00,0.7490657292046781,-0.40056979012420535,1.8357607858546714,-0.21802455316248393
2023-01-06 22:00:00,0.009339666149988268,-0.13911293797890348,0.019931224017167293,-0.06767796025703708
2023-01-07 00:00:00,0.4950911274382669,0.614485536197667,-0.40746540331252673,0.41065185104140894
2023-01-07 02:00:00,0.693774201412479,-0.007904870992175933,-0.44771174316409384,-0.49705595437342903
2023-01-07 04:00:00,0.9443755429218597,0.08380231055313032,0.28476222394919504,-0.4551467888382768
2023-01-07 06:00:00,1.0152106539710737,0.3827612442773489,0.07403436745465042,0.5155770970406339
2023-01-07 08:00:00,1.5617359937179391,0.4477348558164131,1.5957927513601176,0.9938925932781455
